species;treatment;temp;petri;sow_date;initial;cold_strat;D7;D14;D21;D28;D35;D42;empty;fungus
Festuca summilusitana;B_alternate_dark;22_12;2;11/04/2023;25;;;;;;;9;8;0
Festuca summilusitana;B_alternate_dark;22_12;3;11/04/2023;25;;;;;;;9;10;0
Festuca summilusitana;B_alternate_dark;22_12;4;11/04/2023;25;;;;;;;10;9;0
Festuca summilusitana;C_alternate_WP;22_12;1;11/04/2023;23;9;0;0;0;0;0;0;4;5
Festuca summilusitana;C_alternate_WP;22_12;2;11/04/2023;24;8;0;0;0;0;0;0;4;4
Festuca summilusitana;C_alternate_WP;22_12;3;11/04/2023;25;13;0;0;1;0;0;0;4;3
Festuca summilusitana;C_alternate_WP;22_12;4;11/04/2023;24;12;0;0;0;0;0;0;3;5
Festuca summilusitana;D_constant_light;17;1;11/04/2023;24;16;0;1;0;0;1;0;4;2
Festuca summilusitana;D_constant_light;17;2;11/04/2023;24;15;0;0;0;0;0;0;4;4
Festuca summilusitana;D_constant_light;17;3;11/04/2023;25;11;0;0;2;0;0;0;5;2
Festuca summilusitana;D_constant_light;17;4;11/04/2023;25;18;0;1;0;0;0;0;2;2
Galium pyrenaicum;A_alternate_light;15_5;1;21/04/2023;25;0;0;0;0;0;0;0;3;1
Galium pyrenaicum;A_alternate_light;15_5;2;21/04/2023;25;0;0;0;0;0;0;0;1;0
Galium pyrenaicum;A_alternate_light;15_5;3;21/04/2023;25;0;0;0;0;0;0;0;1;1
Galium pyrenaicum;A_alternate_light;15_5;4;21/04/2023;25;0;0;0;0;0;0;0;0;1
Galium pyrenaicum;B_alternate_dark;15_5;1;21/04/2023;25;;;;;;;0;3;0
Galium pyrenaicum;B_alternate_dark;15_5;2;21/04/2023;25;;;;;;;0;4;0
Galium pyrenaicum;B_alternate_dark;15_5;3;21/04/2023;25;;;;;;;0;3;0
Galium pyrenaicum;B_alternate_dark;15_5;4;21/04/2023;25;;;;;;;0;2;3
Galium pyrenaicum;C_alternate_WP;15_5;1;21/04/2023;25;0;0;0;0;0;0;0;0;0
Galium pyrenaicum;C_alternate_WP;15_5;2;21/04/2023;25;0;0;0;0;0;0;0;2;0
Galium pyrenaicum;C_alternate_WP;15_5;3;21/04/2023;25;0;0;0;0;0;0;0;0;0
Galium pyrenaicum;C_alternate_WP;15_5;4;21/04/2023;25;0;0;0;0;0;0;0;2;0
Galium pyrenaicum;D_constant_light;10;1;21/04/2023;25;0;0;0;0;1;0;0;0;2
Galium pyrenaicum;D_constant_light;10;2;21/04/2023;25;0;0;0;0;0;0;0;0;0
